DATE,Date,Sale
1/1/2000,1,4243
2/1/2000,2,4952
3/1/2000,3,6008
4/1/2000,4,5353
5/1/2000,5,6435
6/1/2000,6,6673
7/1/2000,7,5636
8/1/2000,8,6630
9/1/2000,9,5887
10/1/2000,10,6322
11/1/2000,11,6520
12/1/2000,12,6678
1/1/2001,13,5082
2/1/2001,14,5216
3/1/2001,15,5893
4/1/2001,16,5894
5/1/2001,17,6799
6/1/2001,18,6667
7/1/2001,19,6374
8/1/2001,20,6840
9/1/2001,21,5575
10/1/2001,22,6545
11/1/2001,23,6789
12/1/2001,24,7180
1/1/2002,25,5117
2/1/2002,26,5442
3/1/2002,27,6337
4/1/2002,28,6525
5/1/2002,29,7216
6/1/2002,30,6761
7/1/2002,31,6958
8/1/2002,32,7070
9/1/2002,33,6148
10/1/2002,34,6924
11/1/2002,35,6716
12/1/2002,36,7975
1/1/2003,37,5326
2/1/2003,38,5609
3/1/2003,39,6414
4/1/2003,40,6741
5/1/2003,41,7144
6/1/2003,42,7133
7/1/2003,43,7568
8/1/2003,44,7266
9/1/2003,45,6634
10/1/2003,46,7626
11/1/2003,47,6843
12/1/2003,48,8540
1/1/2004,49,5629
2/1/2004,50,5898
3/1/2004,51,7045
4/1/2004,52,7094
5/1/2004,53,7333
6/1/2004,54,7918
7/1/2004,55,7289
8/1/2004,56,7396
9/1/2004,57,7259
10/1/2004,58,7268
11/1/2004,59,7731
12/1/2004,60,9058
1/1/2005,61,5557
2/1/2005,62,6237
3/1/2005,63,7723
4/1/2005,64,7262
5/1/2005,65,8241
6/1/2005,66,8757
7/1/2005,67,7352
8/1/2005,68,8496
9/1/2005,69,7741
10/1/2005,70,7710
11/1/2005,71,8247
12/1/2005,72,8902
1/1/2006,73,6066
2/1/2006,74,6590
3/1/2006,75,7923
4/1/2006,76,7335
5/1/2006,77,8843
6/1/2006,78,9327
7/1/2006,79,7792
8/1/2006,80,9156
9/1/2006,81,8037
10/1/2006,82,8640
11/1/2006,83,9128
12/1/2006,84,9545
1/1/2007,85,6627
2/1/2007,86,6743
3/1/2007,87,8195
4/1/2007,88,7828
5/1/2007,89,9570
6/1/2007,90,9484
7/1/2007,91,8608
8/1/2007,92,9543
9/1/2007,93,8123
10/1/2007,94,9649
11/1/2007,95,9390
12/1/2007,96,10065
1/1/2008,97,7093
2/1/2008,98,7483
3/1/2008,99,8365
4/1/2008,100,8895
5/1/2008,101,9794
6/1/2008,102,9977
7/1/2008,103,9553
8/1/2008,104,9375
9/1/2008,105,9225
10/1/2008,106,9948
11/1/2008,107,8758
12/1/2008,108,10839
1/1/2009,109,7266
2/1/2009,110,7578
3/1/2009,111,8688
4/1/2009,112,9162
5/1/2009,113,9369
6/1/2009,114,10167
7/1/2009,115,9507
8/1/2009,116,8923
9/1/2009,117,9272
10/1/2009,118,9075
11/1/2009,119,8949
12/1/2009,120,10843
1/1/2010,121,6558
2/1/2010,122,7481
3/1/2010,123,9475
4/1/2010,124,9424
5/1/2010,125,9351
6/1/2010,126,10552
7/1/2010,127,9077
8/1/2010,128,9273
9/1/2010,129,9420
10/1/2010,130,9413
11/1/2010,131,9866
12/1/2010,132,11455
1/1/2011,133,6901
2/1/2011,134,8014
3/1/2011,135,9832
4/1/2011,136,9281
5/1/2011,137,9967
6/1/2011,138,11344
7/1/2011,139,9106
8/1/2011,140,10469
9/1/2011,141,10085
10/1/2011,142,9612
11/1/2011,143,10328
12/1/2011,144,11483
1/1/2012,145,7486
2/1/2012,146,8641
3/1/2012,147,9709
4/1/2012,148,9423
5/1/2012,149,11342
6/1/2012,150,11274
7/1/2012,151,9845
8/1/2012,152,11163
9/1/2012,153,9532
10/1/2012,154,10754
11/1/2012,155,10953
12/1/2012,156,11922
1/1/2013,157,8395
2/1/2013,158,8888
3/1/2013,159,10110
4/1/2013,160,10493
5/1/2013,161,12218
6/1/2013,162,11385
7/1/2013,163,11186
8/1/2013,164,11462
9/1/2013,165,10494
10/1/2013,166,11540
11/1/2013,167,11138
12/1/2013,168,12709
1/1/2014,169,8557
2/1/2014,170,9059
3/1/2014,171,10055
4/1/2014,172,10977
5/1/2014,173,11792
6/1/2014,174,11904
7/1/2014,175,10965
8/1/2014,176,10981
9/1/2014,177,10828
10/1/2014,178,11817
11/1/2014,179,10470
12/1/2014,180,13310
1/1/2015,181,8400
2/1/2015,182,9062
3/1/2015,183,10722
4/1/2015,184,11107
5/1/2015,185,11508
6/1/2015,186,12904
7/1/2015,187,11869
8/1/2015,188,11224
9/1/2015,189,12022
10/1/2015,190,11983
11/1/2015,191,11506
12/1/2015,192,14183
1/1/2016,193,8648
2/1/2016,194,10321
3/1/2016,195,12107
4/1/2016,196,11420
5/1/2016,197,12238
6/1/2016,198,13681
7/1/2016,199,10950
8/1/2016,200,12700
9/1/2016,201,12272
10/1/2016,202,11905
11/1/2016,203,13016
12/1/2016,204,14421
1/1/2017,205,9043
2/1/2017,206,10452
3/1/2017,207,12481
4/1/2017,208,11491
5/1/2017,209,13545
6/1/2017,210,14730
7/1/2017,211,11416
8/1/2017,212,13402
9/1/2017,213,11907
10/1/2017,214,12711
11/1/2017,215,13261
12/1/2017,216,14265
1/1/2018,217,9564
2/1/2018,218,10415
3/1/2018,219,12683
4/1/2018,220,11919
5/1/2018,221,14138
6/1/2018,222,14583
7/1/2018,223,12640
8/1/2018,224,14257
9/1/2018,225,12396
10/1/2018,226,13914
11/1/2018,227,14174
12/1/2018,228,15504
1/1/2019,229,10718
