State,Percent
Hawaii,3.0
North Dakota,3.2
New Hampshire,3.3
South Dakota,3.3
Virginia,3.3
Wyoming,3.3
Vermont,3.4
Nebraska,3.6
Montana,3.7
Nevada,3.8
Idaho,4.0
Maryland,4.0
Delaware,4.1
Arizona,4.2
New Jersey,4.2
Oklahoma,4.2
Connecticut,4.3
Georgia,4.4
Minnesota,4.4
Utah,4.4
Florida,4.5
Kentucky,4.5
Kansas,4.6
Massachusetts,4.6
Rhode Island,4.6
Wisconsin,4.6
Iowa,4.7
Maine,4.7
West Virginia,4.9
Colorado,5.1
Indiana,5.1
New Mexico,5.2
North Carolina,5.2
Tennessee,5.2
New York,5.3
Alabama,5.4
Missouri,5.5
Arkansas,5.6
Louisiana,5.6
Pennsylvania,5.6
California,5.8
Illinois,5.8
Texas,5.8
Washington,5.8
Ohio,5.9
Mississippi,6.4
South Carolina,6.7
Oregon,6.8
Alaska,7.3
Michigan,7.3
Puerto Rico,11.2
